wavelength (nm)	March 20th	June 21st
478	4.85E-02	2.45E-02
479	4.83E-02	2.44E-02
480	4.85E-02	2.45E-02
481	4.95E-02	2.51E-02
482	4.99E-02	2.53E-02
483	4.94E-02	2.51E-02
484	4.85E-02	2.46E-02
485	4.62E-02	2.35E-02
486	4.05E-02	2.06E-02
487	4.25E-02	2.17E-02
488	4.67E-02	2.38E-02
489	4.68E-02	2.38E-02
490	4.95E-02	2.52E-02
491	4.88E-02	2.49E-02
492	4.61E-02	2.35E-02
493	4.77E-02	2.43E-02
494	4.83E-02	2.46E-02
495	4.88E-02	2.49E-02
496	4.92E-02	2.51E-02
497	5.01E-02	2.56E-02
498	4.79E-02	2.44E-02
499	4.87E-02	2.48E-02
500	4.74E-02	2.42E-02
501	4.66E-02	2.37E-02
502	4.61E-02	2.34E-02
503	4.81E-02	2.44E-02
504	4.73E-02	2.39E-02
505	4.88E-02	2.47E-02
506	5.06E-02	2.56E-02
507	4.82E-02	2.45E-02
508	4.68E-02	2.38E-02
509	4.81E-02	2.44E-02
510	4.79E-02	2.43E-02
511	4.92E-02	2.51E-02
512	4.98E-02	2.54E-02
513	4.73E-02	2.41E-02
514	4.71E-02	2.40E-02
515	4.67E-02	2.38E-02
516	4.67E-02	2.38E-02
517	4.16E-02	2.12E-02
518	4.38E-02	2.23E-02
519	4.60E-02	2.35E-02
520	4.78E-02	2.44E-02
521	4.83E-02	2.46E-02
522	4.85E-02	2.47E-02
523	4.78E-02	2.43E-02
524	4.96E-02	2.53E-02
525	5.03E-02	2.55E-02
526	4.81E-02	2.44E-02
527	4.55E-02	2.31E-02
528	4.82E-02	2.44E-02
529	5.10E-02	2.58E-02
530	5.04E-02	2.55E-02
531	5.12E-02	2.59E-02
532	4.96E-02	2.51E-02
533	4.82E-02	2.44E-02
534	4.98E-02	2.52E-02
535	5.10E-02	2.58E-02
536	5.15E-02	2.61E-02
537	4.96E-02	2.51E-02
538	5.05E-02	2.56E-02
539	5.02E-02	2.55E-02
540	4.83E-02	2.45E-02
541	4.88E-02	2.47E-02
542	5.04E-02	2.55E-02
543	4.99E-02	2.53E-02
544	5.10E-02	2.58E-02
545	5.08E-02	2.57E-02
546	5.12E-02	2.59E-02
547	5.12E-02	2.59E-02
548	5.06E-02	2.56E-02
549	5.09E-02	2.57E-02
550	5.16E-02	2.61E-02
551	5.11E-02	2.59E-02
552	5.16E-02	2.61E-02
553	5.07E-02	2.57E-02
554	5.21E-02	2.63E-02
555	5.23E-02	2.64E-02
556	5.17E-02	2.61E-02
557	5.02E-02	2.54E-02
558	4.99E-02	2.52E-02
559	4.91E-02	2.48E-02
560	4.99E-02	2.51E-02
561	5.07E-02	2.55E-02
562	5.04E-02	2.54E-02
563	5.19E-02	2.61E-02
564	5.06E-02	2.54E-02
565	5.03E-02	2.52E-02
566	4.97E-02	2.49E-02
567	5.08E-02	2.54E-02
568	5.05E-02	2.53E-02
569	4.97E-02	2.48E-02
570	4.97E-02	2.48E-02
571	4.94E-02	2.46E-02
572	5.08E-02	2.53E-02
573	5.15E-02	2.56E-02
574	5.14E-02	2.55E-02
575	5.06E-02	2.51E-02
576	5.02E-02	2.49E-02
577	5.08E-02	2.52E-02
578	5.01E-02	2.48E-02
579	5.02E-02	2.50E-02
