R	G	B	S	S_error
1.270000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	3.335336018635712829e-01	-1.726779904905159526e+02
1.530000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	4.297764756849627443e-01	-1.830304464167991512e+02
1.530000000000000000e+02	0.000000000000000000e+00	1.020000000000000000e+02	6.116753436184716008e+01	-1.808369114746996615e+02
1.530000000000000000e+02	0.000000000000000000e+00	1.530000000000000000e+02	2.500982986025466630e+02	-1.126270958119461056e+02
1.530000000000000000e+02	0.000000000000000000e+00	2.040000000000000000e+02	5.975801182870698085e+02	1.754352464425141989e+01
1.530000000000000000e+02	0.000000000000000000e+00	5.100000000000000000e+01	5.672614546760015308e+00	-1.864301455539781784e+02
1.530000000000000000e+02	1.020000000000000000e+02	0.000000000000000000e+00	1.143852967009068834e+03	9.420580945315834924e+02
1.530000000000000000e+02	1.020000000000000000e+02	1.020000000000000000e+02	6.996486149254766929e+01	-1.903742339290004395e+02
1.530000000000000000e+02	1.020000000000000000e+02	1.530000000000000000e+02	2.649135415726082670e+02	-1.161465024268857746e+02
1.530000000000000000e+02	1.020000000000000000e+02	2.040000000000000000e+02	6.161362042075126055e+02	1.776496097969288712e+01
1.530000000000000000e+02	1.020000000000000000e+02	5.100000000000000000e+01	1.213310213095267187e+01	-1.983043075547867886e+02
1.530000000000000000e+02	1.530000000000000000e+02	0.000000000000000000e+00	1.153101183229222897e+03	9.254441786406323445e+02
1.530000000000000000e+02	1.530000000000000000e+02	1.020000000000000000e+02	7.957758184945313928e+01	-2.066236456832001807e+02
1.530000000000000000e+02	1.530000000000000000e+02	1.530000000000000000e+02	2.757496605541788881e+02	-1.311725155564203646e+02
1.530000000000000000e+02	1.530000000000000000e+02	2.040000000000000000e+02	6.299430674227457985e+02	5.709692083820868902e+00
1.530000000000000000e+02	1.530000000000000000e+02	5.100000000000000000e+01	2.245924632067619697e+01	-2.138402954761684782e+02
1.530000000000000000e+02	2.040000000000000000e+02	0.000000000000000000e+00	1.164665416685611035e+03	8.986949814755196257e+02
1.530000000000000000e+02	2.040000000000000000e+02	1.020000000000000000e+02	9.182914326992805343e+01	-2.326855148842261087e+02
1.530000000000000000e+02	2.040000000000000000e+02	1.530000000000000000e+02	2.891200037698812935e+02	-1.561156029622188157e+02
1.530000000000000000e+02	2.040000000000000000e+02	2.040000000000000000e+02	6.447873249376242484e+02	-1.775948102280153762e+01
1.530000000000000000e+02	2.040000000000000000e+02	5.100000000000000000e+01	3.601985318904327471e+01	-2.385931192293022605e+02
1.530000000000000000e+02	5.100000000000000000e+01	0.000000000000000000e+00	1.130024670051089515e+03	9.424902923847598686e+02
1.530000000000000000e+02	5.100000000000000000e+01	1.020000000000000000e+02	6.458010618016585624e+01	-1.814984944302265149e+02
1.530000000000000000e+02	5.100000000000000000e+01	1.530000000000000000e+02	2.566842075813093516e+02	-1.101153416070289381e+02
1.530000000000000000e+02	5.100000000000000000e+01	2.040000000000000000e+02	6.070427396313879171e+02	2.293199121472400748e+01
1.530000000000000000e+02	5.100000000000000000e+01	5.100000000000000000e+01	7.103582237022700419e+00	-1.890733326375610091e+02
1.780000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	3.299758104907957179e+00	-1.936390991129539429e+02
2.040000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	6.158269427868313883e+00	-2.088153238346813794e+02
2.040000000000000000e+02	0.000000000000000000e+00	1.020000000000000000e+02	6.819684843539670283e+01	-2.053209677712156349e+02
2.040000000000000000e+02	0.000000000000000000e+00	1.530000000000000000e+02	2.580945481024776882e+02	-1.361442166820806392e+02
2.040000000000000000e+02	0.000000000000000000e+00	2.040000000000000000e+02	6.044702071946989008e+02	-7.079756818185046541e+00
2.040000000000000000e+02	0.000000000000000000e+00	5.100000000000000000e+01	1.281523924442121753e+01	-2.108008912263825039e+02
2.040000000000000000e+02	1.020000000000000000e+02	0.000000000000000000e+00	1.153511069503540739e+03	9.202028266559898384e+02
2.040000000000000000e+02	1.020000000000000000e+02	1.020000000000000000e+02	7.632735080905317204e+01	-2.155251149825604386e+02
2.040000000000000000e+02	1.020000000000000000e+02	1.530000000000000000e+02	2.720104378736102149e+02	-1.405629764959493855e+02
2.040000000000000000e+02	1.020000000000000000e+02	2.040000000000000000e+02	6.244769236062372784e+02	-5.407689991647998795e+00
2.040000000000000000e+02	1.020000000000000000e+02	5.100000000000000000e+01	2.131011993392040793e+01	-2.206406601218845651e+02
2.040000000000000000e+02	1.530000000000000000e+02	0.000000000000000000e+00	1.163296081467825843e+03	9.041257065091697314e+02
2.040000000000000000e+02	1.530000000000000000e+02	1.020000000000000000e+02	8.598976232184968183e+01	-2.317248355808691826e+02
2.040000000000000000e+02	1.530000000000000000e+02	1.530000000000000000e+02	2.826451172285403572e+02	-1.557904292521244543e+02
2.040000000000000000e+02	1.530000000000000000e+02	2.040000000000000000e+02	6.367153790279527357e+02	-1.903136668103775264e+01
2.040000000000000000e+02	1.530000000000000000e+02	5.100000000000000000e+01	2.977903372361962653e+01	-2.380338784432906039e+02
2.040000000000000000e+02	2.040000000000000000e+02	0.000000000000000000e+00	1.175116365902361395e+03	8.776325603222044265e+02
2.040000000000000000e+02	2.040000000000000000e+02	1.020000000000000000e+02	9.911496926384299400e+01	-2.569130592603767127e+02
2.040000000000000000e+02	2.040000000000000000e+02	1.530000000000000000e+02	2.966712357063872219e+02	-1.800777413957784461e+02
2.040000000000000000e+02	2.040000000000000000e+02	2.040000000000000000e+02	6.522070125302949464e+02	-4.185316380019639837e+01
2.040000000000000000e+02	2.040000000000000000e+02	5.100000000000000000e+01	4.257184553906161995e+01	-2.635544972493494811e+02
2.040000000000000000e+02	5.100000000000000000e+01	0.000000000000000000e+00	1.139184149968739803e+03	9.201364019323445973e+02
2.040000000000000000e+02	5.100000000000000000e+01	1.020000000000000000e+02	6.996545582327397028e+01	-2.076265151571838885e+02
2.040000000000000000e+02	5.100000000000000000e+01	1.530000000000000000e+02	2.638203668292624116e+02	-1.344925527291414369e+02
2.040000000000000000e+02	5.100000000000000000e+01	2.040000000000000000e+02	6.131408564076417633e+02	-2.483262379087705085e+00
2.040000000000000000e+02	5.100000000000000000e+01	5.100000000000000000e+01	1.508848270788433865e+01	-2.126018025367648931e+02
2.290000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	1.065395272249425140e+01	-2.259337803931664723e+02
2.540000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	1.546156516690649063e+01	-2.473202319113439671e+02
5.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.855234089092284663e-10	-1.587173919302463219e+02
5.100000000000000000e+01	0.000000000000000000e+00	1.020000000000000000e+02	5.318151638488438238e+01	-1.640800984897101387e+02
5.100000000000000000e+01	0.000000000000000000e+00	1.530000000000000000e+02	2.387993105865753591e+02	-9.918325286596513024e+01
5.100000000000000000e+01	0.000000000000000000e+00	2.040000000000000000e+02	5.828655164457247793e+02	2.757175376485861307e+01
5.100000000000000000e+01	0.000000000000000000e+00	5.100000000000000000e+01	2.594211304843807333e-08	-1.673599291128437869e+02
5.100000000000000000e+01	1.020000000000000000e+02	0.000000000000000000e+00	1.128471719854525190e+03	9.514196783389920711e+02
5.100000000000000000e+01	1.020000000000000000e+02	1.020000000000000000e+02	6.202065820822340214e+01	-1.735756062513723919e+02
5.100000000000000000e+01	1.020000000000000000e+02	1.530000000000000000e+02	2.526004095213420726e+02	-1.037168035161996897e+02
5.100000000000000000e+01	1.020000000000000000e+02	2.040000000000000000e+02	6.006099899827298714e+02	2.698157771686248907e+01
5.100000000000000000e+01	1.020000000000000000e+02	5.100000000000000000e+01	4.364260636128508786e+00	-1.813303180876586396e+02
5.100000000000000000e+01	1.530000000000000000e+02	0.000000000000000000e+00	1.137297520099862368e+03	9.343833464732240373e+02
5.100000000000000000e+01	1.530000000000000000e+02	1.020000000000000000e+02	7.127509209615135433e+01	-1.901833044745496295e+02
5.100000000000000000e+01	1.530000000000000000e+02	1.530000000000000000e+02	2.627259773173088888e+02	-1.194533678313380847e+02
5.100000000000000000e+01	1.530000000000000000e+02	2.040000000000000000e+02	6.121637413352531212e+02	1.267319695828052772e+01
5.100000000000000000e+01	1.530000000000000000e+02	5.100000000000000000e+01	1.332413556832600321e+01	-1.982325752665663856e+02
5.100000000000000000e+01	2.040000000000000000e+02	0.000000000000000000e+00	1.149487793576403419e+03	9.082601893282642322e+02
5.100000000000000000e+01	2.040000000000000000e+02	1.020000000000000000e+02	8.385906273256701127e+01	-2.159127644596348432e+02
5.100000000000000000e+01	2.040000000000000000e+02	1.530000000000000000e+02	2.781947918223389706e+02	-1.422979839478088593e+02
5.100000000000000000e+01	2.040000000000000000e+02	2.040000000000000000e+02	6.262224977620578557e+02	-1.158147723641559423e+01
5.100000000000000000e+01	2.040000000000000000e+02	5.100000000000000000e+01	2.906103404805754664e+01	-2.208091074083356773e+02
5.100000000000000000e+01	5.100000000000000000e+01	0.000000000000000000e+00	1.117033669534132059e+03	9.542421228297546349e+02
5.100000000000000000e+01	5.100000000000000000e+01	1.020000000000000000e+02	5.580828869510342827e+01	-1.655274809533366351e+02
5.100000000000000000e+01	5.100000000000000000e+01	1.530000000000000000e+02	2.453624075000673486e+02	-9.669431072631866186e+01
5.100000000000000000e+01	5.100000000000000000e+01	2.040000000000000000e+02	5.917012207159569925e+02	3.233330326124530529e+01
5.100000000000000000e+01	5.100000000000000000e+01	5.100000000000000000e+01	7.009031306439410525e-01	-1.707331807819874427e+02
7.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.082508511102458564e-08	-1.612329186838555302e+02
