R G B L_integral M_integral S_integral
0 0 0 0.0 0.0 0.0
0 0 102 44.694346362953354 62.13862857511362 234.10028730847642
0 0 125 55.02861962350875 77.89979218359606 346.857192082206
0 0 140 75.76113546062841 106.85428616454563 458.532298134583
0 0 151 107.43545221106613 148.4352015207183 557.2690899006343
0 0 176 135.47932092691923 189.61728517530935 778.1993711392685
0 0 204 212.1802577294897 292.45556198357 1110.3141407713574
0 0 220 233.52940749978836 325.2352584482752 1306.5485289068145
0 0 254 322.71507076055826 448.41743408684675 1791.0338001276004
0 0 51 7.4816060493387635 10.647033376803648 48.561266756683246
0 0 60 4.227596294451764 5.977484668479756 55.79622975593763
0 0 76 12.104038474906742 17.4349792791823 107.72480273201022
0 102 0 396.39195571600146 401.4944470994013 3.409331086148457
0 102 102 454.5679214994775 477.651905455188 246.08008750548524
0 102 151 521.1612193118763 567.7777068600294 570.7937933792864
0 102 204 628.9206355672559 715.1135007049853 1125.2502774881339
0 102 51 411.3314521617277 420.6566562548558 57.922093927900804
0 125 0 570.3698678580871 578.0318000467677 4.796306393815532
0 140 0 752.1393526862319 762.0037019852226 6.625983986516724
0 151 0 905.7786643636783 917.2421440989716 9.034115731471056
0 151 102 972.5322453169025 1002.6291070817671 255.12822191368087
0 151 151 1040.2920284639724 1094.7268748329097 581.0083400648791
0 151 204 1152.4192974385066 1247.15432725968 1134.317276880988
0 151 51 925.7331589038687 941.7915540192732 66.45646225163722
0 176 0 1275.8013716153698 1293.2316791708388 11.838304018739198
0 204 0 1799.4461893729251 1823.5158849142229 22.340595332157882
0 204 102 1872.0432526128081 1915.4406165959203 270.1153516748769
0 204 151 1943.3522653878756 2011.467083550951 598.6701481004657
0 204 204 2061.789228719337 2170.804264837952 1153.4774695118938
0 204 51 1825.7153874469832 1854.3123097331327 79.72458485413748
0 220 0 2112.289584007059 2141.7400263268573 20.5209265467667
0 254 0 2897.030489713247 2936.8283808245333 28.75905288427655
0 51 0 91.62936727256675 93.12166319990754 0.42424753918628144
0 51 102 142.2749537864661 161.48986561739312 238.975796748572
0 51 151 205.59511424759089 248.19089276672852 562.8606225003396
0 51 204 311.6843699505668 393.2927951873452 1116.1018929039813
0 51 51 103.81146068675989 109.30558785796407 51.67271711914629
0 60 0 103.27787313887804 104.71504768070972 0.43852419894412936
0 76 0 190.35502157804876 192.98500603883085 1.071884826337139
102 0 0 172.01608852311202 50.2978365284731 2.0217843168631824e-07
102 0 102 225.00305132102784 118.31107037780117 243.12857411004381
102 0 151 291.53326608082176 206.83574665034476 567.4952474038685
102 0 204 398.3709239257836 352.28632041200706 1121.3801146935732
102 0 51 183.61397481645446 64.89243880365142 54.38161294526901
102 102 0 588.3939227875849 467.20754413122256 3.7592385058432725
102 102 102 658.3135976619316 552.0039946162739 257.214401407767
102 102 151 726.3007405095659 643.0439687252103 587.874048209078
