373	5.04E-03	1.85E-03	4.94E-03	8.26E-03
374	4.78E-03	1.76E-03	4.69E-03	7.83E-03
375	3.86E-03	1.42E-03	3.79E-03	6.32E-03
376	4.79E-03	1.76E-03	4.69E-03	7.83E-03
377	5.27E-03	1.94E-03	5.16E-03	8.62E-03
378	6.71E-03	2.48E-03	6.58E-03	1.10E-02
379	5.25E-03	1.94E-03	5.14E-03	8.58E-03
380	4.99E-03	1.84E-03	4.89E-03	8.16E-03
381	6.08E-03	2.25E-03	5.96E-03	9.94E-03
382	4.30E-03	1.59E-03	4.21E-03	7.01E-03
383	3.40E-03	1.26E-03	3.33E-03	5.55E-03
384	3.62E-03	1.34E-03	3.55E-03	5.91E-03
385	5.30E-03	1.96E-03	5.19E-03	8.64E-03
386	4.24E-03	1.57E-03	4.16E-03	6.91E-03
387	4.65E-03	1.73E-03	4.55E-03	7.57E-03
388	4.83E-03	1.80E-03	4.73E-03	7.87E-03
389	5.17E-03	1.92E-03	5.07E-03	8.42E-03
390	6.31E-03	2.35E-03	6.18E-03	1.03E-02
391	6.86E-03	2.56E-03	6.72E-03	1.11E-02
392	5.90E-03	2.20E-03	5.78E-03	9.59E-03
393	2.95E-03	1.10E-03	2.89E-03	4.80E-03
394	4.38E-03	1.64E-03	4.29E-03	7.12E-03
395	6.82E-03	2.55E-03	6.68E-03	1.11E-02
396	6.01E-03	2.25E-03	5.89E-03	9.76E-03
397	2.65E-03	9.93E-04	2.60E-03	4.30E-03
398	7.56E-03	2.83E-03	7.40E-03	1.23E-02
399	8.50E-03	3.19E-03	8.32E-03	1.38E-02
400	8.80E-03	3.30E-03	8.62E-03	1.43E-02
401	9.05E-03	3.39E-03	8.87E-03	1.47E-02
402	9.59E-03	3.59E-03	9.39E-03	1.55E-02
403	9.15E-03	3.43E-03	8.96E-03	1.48E-02
404	9.02E-03	3.39E-03	8.84E-03	1.46E-02
405	9.03E-03	3.39E-03	8.85E-03	1.46E-02
406	8.93E-03	3.36E-03	8.75E-03	1.45E-02
407	8.82E-03	3.32E-03	8.64E-03	1.43E-02
408	9.17E-03	3.45E-03	8.98E-03	1.48E-02
409	9.83E-03	3.70E-03	9.63E-03	1.59E-02
410	8.62E-03	3.25E-03	8.44E-03	1.39E-02
411	9.36E-03	3.53E-03	9.17E-03	1.51E-02
412	1.01E-02	3.82E-03	9.89E-03	1.63E-02
413	9.84E-03	3.72E-03	9.64E-03	1.59E-02
414	1.00E-02	3.78E-03	9.80E-03	1.62E-02
415	1.01E-02	3.81E-03	9.86E-03	1.62E-02
416	1.03E-02	3.90E-03	1.01E-02	1.66E-02
417	1.01E-02	3.81E-03	9.85E-03	1.62E-02
418	9.89E-03	3.75E-03	9.69E-03	1.59E-02
419	1.00E-02	3.81E-03	9.84E-03	1.62E-02
420	1.00E-02	3.81E-03	9.82E-03	1.62E-02
421	1.05E-02	4.00E-03	1.03E-02	1.69E-02
422	1.00E-02	3.81E-03	9.81E-03	1.61E-02
423	9.82E-03	3.74E-03	9.61E-03	1.58E-02
424	1.04E-02	3.96E-03	1.02E-02	1.68E-02
425	1.04E-02	3.97E-03	1.02E-02	1.68E-02
426	1.02E-02	3.90E-03	9.99E-03	1.64E-02
427	1.00E-02	3.83E-03	9.82E-03	1.61E-02
428	9.77E-03	3.73E-03	9.58E-03	1.57E-02
429	9.31E-03	3.56E-03	9.12E-03	1.50E-02
430	8.16E-03	3.13E-03	8.00E-03	1.31E-02
431	8.09E-03	3.10E-03	7.93E-03	1.30E-02
432	1.05E-02	4.02E-03	1.03E-02	1.69E-02
433	1.06E-02	4.06E-03	1.04E-02	1.70E-02
434	9.84E-03	3.77E-03	9.64E-03	1.58E-02
435	1.03E-02	3.94E-03	1.01E-02	1.65E-02
436	1.16E-02	4.47E-03	1.14E-02	1.87E-02
437	1.15E-02	4.44E-03	1.13E-02	1.85E-02
438	1.05E-02	4.06E-03	1.03E-02	1.69E-02
439	1.09E-02	4.17E-03	1.06E-02	1.74E-02
440	1.13E-02	4.33E-03	1.10E-02	1.81E-02
441	1.17E-02	4.52E-03	1.15E-02	1.88E-02
442	1.26E-02	4.87E-03	1.24E-02	2.02E-02
443	1.23E-02	4.75E-03	1.20E-02	1.97E-02
444	1.26E-02	4.86E-03	1.23E-02	2.02E-02
445	1.23E-02	4.75E-03	1.21E-02	1.97E-02
446	1.18E-02	4.57E-03	1.16E-02	1.89E-02
447	1.28E-02	4.96E-03	1.26E-02	2.05E-02
448	1.30E-02	5.01E-03	1.27E-02	2.08E-02
449	1.31E-02	5.08E-03	1.29E-02	2.10E-02
450	1.36E-02	5.25E-03	1.33E-02	2.17E-02
451	1.41E-02	5.46E-03	1.38E-02	2.25E-02
452	1.36E-02	5.27E-03	1.33E-02	2.17E-02
453	1.28E-02	4.97E-03	1.26E-02	2.05E-02
454	1.34E-02	5.22E-03	1.32E-02	2.14E-02
455	1.35E-02	5.25E-03	1.32E-02	2.16E-02
456	1.39E-02	5.40E-03	1.36E-02	2.22E-02
457	1.42E-02	5.50E-03	1.39E-02	2.26E-02
458	1.37E-02	5.31E-03	1.34E-02	2.19E-02
459	1.37E-02	5.31E-03	1.34E-02	2.18E-02
460	1.37E-02	5.32E-03	1.34E-02	2.19E-02
461	1.41E-02	5.46E-03	1.38E-02	2.25E-02
462	1.42E-02	5.53E-03	1.39E-02	2.27E-02
463	1.41E-02	5.48E-03	1.38E-02	2.25E-02
464	1.39E-02	5.42E-03	1.36E-02	2.22E-02
465	1.38E-02	5.39E-03	1.35E-02	2.20E-02
466	1.40E-02	5.47E-03	1.37E-02	2.23E-02
467	1.37E-02	5.36E-03	1.35E-02	2.19E-02
468	1.40E-02	5.44E-03	1.37E-02	2.22E-02
469	1.41E-02	5.49E-03	1.38E-02	2.24E-02
470	1.37E-02	5.33E-03	1.34E-02	2.17E-02
471	1.37E-02	5.34E-03	1.34E-02	2.18E-02
472	1.44E-02	5.63E-03	1.41E-02	2.30E-02
473	1.43E-02	5.57E-03	1.40E-02	2.27E-02
474	1.43E-02	5.57E-03	1.40E-02	2.28E-02
475	1.45E-02	5.63E-03	1.41E-02	2.30E-02
476	1.41E-02	5.48E-03	1.38E-02	2.25E-02
477	1.42E-02	5.51E-03	1.39E-02	2.26E-02
478	1.46E-02	5.68E-03	1.43E-02	2.33E-02
479	1.45E-02	5.65E-03	1.42E-02	2.32E-02
480	1.46E-02	5.67E-03	1.43E-02	2.32E-02
481	1.49E-02	5.79E-03	1.46E-02	2.37E-02
482	1.50E-02	5.85E-03	1.47E-02	2.39E-02
483	1.49E-02	5.81E-03	1.46E-02	2.37E-02
484	1.46E-02	5.71E-03	1.43E-02	2.32E-02
485	1.40E-02	5.45E-03	1.36E-02	2.22E-02
486	1.22E-02	4.78E-03	1.19E-02	1.94E-02
487	1.28E-02	5.03E-03	1.25E-02	2.04E-02
488	1.41E-02	5.51E-03	1.38E-02	2.24E-02
489	1.41E-02	5.53E-03	1.38E-02	2.25E-02
490	1.49E-02	5.84E-03	1.46E-02	2.37E-02
491	1.47E-02	5.77E-03	1.44E-02	2.34E-02
492	1.39E-02	5.46E-03	1.36E-02	2.21E-02
493	1.44E-02	5.65E-03	1.41E-02	2.29E-02
494	1.46E-02	5.71E-03	1.42E-02	2.32E-02
495	1.47E-02	5.77E-03	1.44E-02	2.34E-02
496	1.49E-02	5.82E-03	1.45E-02	2.36E-02
497	1.51E-02	5.93E-03	1.48E-02	2.40E-02
498	1.45E-02	5.67E-03	1.41E-02	2.30E-02
499	1.47E-02	5.76E-03	1.44E-02	2.33E-02
500	1.43E-02	5.60E-03	1.40E-02	2.27E-02
501	1.41E-02	5.50E-03	1.37E-02	2.23E-02
502	1.39E-02	5.43E-03	1.35E-02	2.21E-02
503	1.45E-02	5.65E-03	1.41E-02	2.30E-02
504	1.43E-02	5.52E-03	1.36E-02	2.23E-02
505	1.47E-02	5.71E-03	1.43E-02	2.33E-02
506	1.53E-02	5.92E-03	1.48E-02	2.41E-02
507	1.46E-02	5.66E-03	1.41E-02	2.29E-02
508	1.41E-02	5.50E-03	1.37E-02	2.23E-02
509	1.45E-02	5.66E-03	1.41E-02	2.29E-02
510	1.45E-02	5.64E-03	1.40E-02	2.29E-02
511	1.49E-02	5.80E-03	1.45E-02	2.36E-02
512	1.51E-02	5.88E-03	1.47E-02	2.39E-02
513	1.43E-02	5.58E-03	1.39E-02	2.27E-02
514	1.42E-02	5.56E-03	1.39E-02	2.26E-02
515	1.41E-02	5.52E-03	1.38E-02	2.24E-02
516	1.41E-02	5.52E-03	1.38E-02	2.24E-02
517	1.26E-02	4.92E-03	1.23E-02	1.99E-02
518	1.33E-02	5.18E-03	1.29E-02	2.10E-02
519	1.39E-02	5.43E-03	1.36E-02	2.21E-02
520	1.45E-02	5.64E-03	1.41E-02	2.29E-02
521	1.46E-02	5.71E-03	1.42E-02	2.32E-02
522	1.47E-02	5.72E-03	1.43E-02	2.32E-02
523	1.44E-02	5.63E-03	1.41E-02	2.29E-02
524	1.50E-02	5.84E-03	1.46E-02	2.37E-02
525	1.52E-02	5.90E-03	1.48E-02	2.41E-02
526	1.45E-02	5.64E-03	1.41E-02	2.30E-02
527	1.37E-02	5.32E-03	1.33E-02	2.18E-02
528	1.46E-02	5.63E-03	1.41E-02	2.31E-02
529	1.54E-02	5.95E-03	1.49E-02	2.44E-02
530	1.52E-02	5.87E-03	1.47E-02	2.41E-02
