Wavelength	Real Intensity
339.870000	0.000000
340.250000	0.000000
340.630000	0.000000
341.020000	0.000000
341.400000	0.000000
341.780000	0.000000
342.160000	0.000000
342.550000	0.000000
342.930000	0.000000
343.310000	0.000000
343.690000	0.000000
344.080000	0.000000
344.460000	0.000000
344.840000	0.000000
345.220000	0.000000
345.600000	0.000000
345.990000	0.000000
346.370000	0.000000
346.750000	0.000000
347.130000	0.000000
347.510000	0.000000
347.900000	0.000000
348.280000	0.000000
348.660000	0.000000
349.040000	0.000000
349.420000	0.000000
349.800000	0.000000
350.190000	0.000000
350.570000	0.000000
350.950000	0.000000
351.330000	0.000000
351.710000	0.000000
352.090000	0.000000
352.470000	0.000000
352.860000	0.000000
353.240000	0.000000
353.620000	0.000000
354.000000	0.000000
354.380000	0.000000
354.760000	0.000000
355.140000	0.000000
355.520000	0.000000
355.900000	0.000000
356.280000	0.000000
356.670000	0.000000
357.050000	0.000000
357.430000	0.000000
357.810000	0.000000
358.190000	0.000000
358.570000	0.000000
358.950000	0.000000
359.330000	0.000000
359.710000	0.000000
360.090000	0.000000
360.470000	0.000000
360.850000	0.000000
361.230000	0.000000
361.610000	0.000000
361.990000	0.000000
362.370000	0.000000
362.750000	0.000000
363.130000	0.000000
363.510000	0.000000
363.890000	0.000000
364.270000	0.000000
364.650000	0.000000
365.030000	0.000000
365.410000	0.000000
365.790000	0.000000
366.170000	0.000000
366.550000	0.000000
366.930000	0.000000
367.310000	0.000000
367.690000	0.000000
368.070000	0.000000
368.450000	0.000000
368.830000	0.000000
369.210000	0.000000
369.590000	0.000000
369.970000	0.000000
370.350000	0.000000
370.730000	0.000000
371.110000	0.000000
371.490000	0.000000
371.870000	0.000000
372.250000	0.000000
372.620000	0.000000
373.000000	0.000000
373.380000	0.000000
373.760000	0.000000
374.140000	0.000000
374.520000	0.000000
374.900000	0.000000
375.280000	0.000000
375.660000	0.000000
376.030000	0.000000
376.410000	0.000000
376.790000	0.000000
377.170000	0.000000
377.550000	0.000000
377.930000	0.000000
378.310000	0.000000
378.680000	0.000000
379.060000	0.000000
379.440000	0.000000
379.820000	0.000000
380.200000	0.000000
380.580000	0.000000
380.950000	0.000000
381.330000	0.000000
381.710000	0.000000
382.090000	0.000000
382.470000	0.000000
382.850000	0.000000
383.220000	0.000000
383.600000	0.000000
383.980000	0.000000
384.360000	0.137500
384.730000	0.342500
385.110000	4.370000
385.490000	0.955000
385.870000	4.777500
386.250000	6.825000
386.620000	12.422500
387.000000	15.425000
387.380000	22.937500
387.760000	23.960000
388.130000	39.460000
388.510000	43.482500
388.890000	58.025000
389.260000	112.295000
389.640000	166.567500
390.020000	192.712500
390.400000	211.555000
390.770000	249.577500
391.150000	304.327500
391.530000	359.827500
391.900000	337.370000
392.280000	310.407500
392.660000	258.112500
393.040000	171.145000
393.410000	84.852500
393.790000	142.400000
394.170000	234.422500
394.540000	378.190000
394.920000	487.897500
395.300000	573.570000
395.670000	630.567500
396.050000	588.450000
396.420000	440.657500
396.800000	288.012500
397.180000	265.760000
397.550000	455.260000
397.930000	719.930000
398.310000	911.822500
398.680000	1018.797500
399.060000	1088.700000
399.440000	1180.517500
399.810000	1250.692500
400.190000	1280.457500
400.560000	1306.602500
400.940000	1371.662500
401.320000	1429.755000
401.690000	1545.872500
402.070000	1595.435000
402.440000	1649.230000
402.820000	1673.735000
403.190000	1650.662500
403.570000	1660.627500
403.950000	1732.310000
404.320000	1782.895000
404.700000	1711.692500
405.070000	1767.325000
405.450000	1858.260000
405.820000	1913.962500
406.200000	1865.017500
406.570000	1897.715000
406.950000	1904.407500
407.320000	1997.177500
407.700000	2061.552500
408.070000	2111.322500
408.450000	2177.880000
408.820000	2379.877500
409.200000	2439.402500
409.570000	2409.912500
409.950000	2212.282500
410.320000	2156.647500
410.700000	2189.687500
411.070000	2462.615000
411.450000	2682.770000
411.820000	2734.175000
412.200000	2738.680000
412.570000	2741.067500
412.950000	2696.562500
413.320000	2655.805000
413.700000	2792.405000
414.070000	2836.985000
414.450000	2896.170000
414.820000	2853.570000
415.190000	2867.087500
415.570000	2870.227500
415.940000	2989.897500
416.320000	3054.480000
416.690000	3166.362500
417.070000	3126.020000
417.440000	2997.407500
417.810000	2961.365000
418.190000	3043.897500
418.560000	3072.705000
418.940000	3132.980000
419.310000	3254.562500
419.680000	3265.760000
420.060000	3206.027500
420.430000	3232.580000
420.800000	3419.085000
421.180000	3663.132500
421.550000	3674.127500
421.930000	3699.315000
422.300000	3620.125000
422.670000	3414.032500
423.050000	3453.220000
423.420000	3573.365000
423.790000	3765.600000
424.170000	3835.435000
424.540000	3996.270000
424.910000	3962.545000
425.290000	3977.157500
425.660000	4000.707500
426.030000	4019.482500
426.400000	4269.745000
426.780000	4289.745000
427.150000	4150.002500
427.520000	4097.642500
427.900000	4204.890000
428.270000	4548.470000
428.640000	4452.080000
429.020000	4386.882500
429.390000	4372.207500
429.760000	4097.850000
430.130000	3818.030000
430.510000	3512.060000
430.880000	3417.515000
431.250000	3832.980000
431.620000	4763.165000
432.000000	5352.842500
432.370000	5497.362500
432.740000	5271.677500
433.110000	5460.570000
433.480000	5808.992500
433.860000	5404.452500
434.230000	4978.610000
434.600000	5215.562500
434.970000	5560.305000
435.350000	5762.780000
435.720000	5828.587500
436.090000	6150.530000
436.460000	6328.222500
436.830000	6373.620000
437.210000	6163.157500
437.580000	5925.115000
437.950000	5888.255000
438.320000	5544.125000
438.690000	5379.810000
439.060000	5575.735000
439.440000	5905.317500
439.810000	6104.790000
440.180000	6109.980000
440.550000	5976.860000
440.920000	6065.060000
441.290000	6335.937500
441.660000	6527.695000
442.030000	6690.100000
442.410000	6751.880000
442.780000	6857.212500
443.150000	6758.227500
443.520000	6760.345000
443.890000	6750.585000
444.260000	6898.650000
444.630000	7064.672500
445.000000	7247.762500
445.370000	7039.755000
445.740000	6722.117500
446.120000	6597.190000
446.490000	6873.870000
446.860000	7158.537500
447.230000	7538.915000
447.600000	7814.297500
447.970000	7896.352500
448.340000	7804.602500
448.710000	7815.457500
449.080000	7948.302500
449.450000	8140.197500
449.820000	8300.827500
450.190000	8635.535000
450.560000	9169.032500
450.930000	9199.407500
451.300000	9212.922500
451.670000	9212.650000
452.040000	9331.980000
452.410000	9312.730000
452.780000	8975.290000
453.150000	8846.200000
453.520000	8967.917500
453.890000	9410.690000
454.260000	9944.392500
454.630000	10184.685000
455.000000	10025.282500
455.370000	10077.370000
455.740000	10350.022500
456.110000	11036.365000
456.480000	11039.235000
456.850000	11326.565000
457.220000	11382.337500
457.590000	11718.612500
457.960000	11671.170000
458.330000	11467.535000
458.700000	11548.015000
459.070000	11820.945000
459.430000	11878.970000
459.800000	12014.000000
460.170000	12067.180000
460.540000	12569.612500
460.910000	12720.617500
461.280000	13029.520000
461.650000	13172.195000
462.020000	13323.947500
462.390000	13397.742500
462.760000	13631.555000
463.120000	13710.400000
463.490000	13477.820000
463.860000	13464.302500
464.230000	13322.172500
464.600000	12941.182500
464.970000	12979.137500
465.340000	13310.907500
465.700000	13797.780000
466.070000	13819.215000
466.440000	13598.582500
466.810000	13155.945000
467.180000	13079.830000
467.550000	13627.935000
467.910000	13708.080000
468.280000	13721.457500
468.650000	13965.712500
469.020000	13974.520000
469.390000	14174.197500
469.750000	14134.600000
470.120000	13904.752500
470.490000	13499.187500
470.860000	13789.517500
471.230000	13951.647500
471.590000	14413.807500
471.960000	14939.247500
472.330000	15387.825000
472.700000	15189.780000
473.060000	15060.830000
473.430000	14656.015000
473.800000	15123.702500
474.170000	15367.207500
474.530000	15849.847500
474.900000	15951.902500
475.270000	16042.492500
475.640000	15845.680000
476.000000	15718.022500
476.370000	15608.115000
476.740000	15898.517500
477.110000	16121.675000
477.470000	16742.420000
477.840000	17156.995000
478.210000	17412.515000
478.570000	17016.435000
478.940000	16928.032500
479.310000	17239.870000
479.670000	17834.530000
480.040000	18220.162500
480.410000	17784.835000
480.770000	18117.560000
481.140000	18059.602500
481.510000	18595.145000
481.870000	18855.785000
482.240000	19088.367500
482.610000	18944.937500
482.970000	18867.322500
483.340000	19217.525000
483.710000	19136.835000
484.070000	19124.817500
484.440000	19292.070000
484.800000	19601.107500
485.170000	19403.140000
485.540000	18804.315000
485.900000	17084.425000
486.270000	15971.492500
486.630000	16488.537500
487.000000	17842.930000
487.370000	18861.792500
487.730000	19484.102500
488.100000	20461.527500
488.460000	20453.542500
488.830000	20108.050000
489.190000	20219.255000
489.560000	21017.277500
489.930000	22245.037500
490.290000	22376.652500
490.660000	22076.285000
491.020000	21834.010000
491.390000	21959.142500
491.750000	21270.885000
492.120000	20767.907500
492.480000	20699.570000
492.850000	22209.540000
493.210000	22718.797500
493.580000	22543.222500
493.940000	22052.390000
494.310000	22719.415000
494.670000	23395.380000
495.040000	23476.342500
495.400000	23205.670000
495.770000	22429.285000
496.130000	22796.962500
496.500000	23189.492500
496.860000	23291.890000
497.230000	23456.342500
497.590000	23237.140000
497.960000	22898.472500
498.320000	21772.230000
498.690000	21753.522500
499.050000	22242.920000
499.410000	23026.745000
499.780000	22860.795000
500.140000	22323.885000
500.510000	21553.300000
500.870000	21672.765000
501.240000	21505.582500
501.600000	21310.342500
501.960000	21253.000000
502.330000	21643.822500
502.690000	21859.610000
503.060000	22311.597500
503.420000	22425.052500
503.780000	21753.660000
504.150000	21292.597500
504.510000	21561.900000
504.880000	22116.767500
505.240000	22258.620000
505.600000	22641.867500
505.970000	23376.675000
506.330000	23038.147500
506.690000	22619.405000
507.060000	22257.052500
507.420000	22195.747500
507.780000	21804.860000
508.150000	21588.937500
508.510000	21841.585000
508.870000	22440.620000
509.240000	22997.597500
509.600000	22474.137500
509.960000	22193.155000
510.330000	22299.855000
510.690000	22442.530000
511.050000	22393.787500
511.410000	23033.027500
511.780000	23432.995000
512.140000	22973.702500
512.500000	22627.255000
512.870000	22293.505000
513.230000	22278.145000
513.590000	22364.022500
513.950000	21844.522500
514.320000	21842.472500
514.680000	22028.020000
515.040000	22453.997500
515.400000	22798.877500
515.770000	23094.805000
516.130000	22930.765000
516.490000	21443.122500
516.850000	19517.757500
517.220000	18824.997500
517.580000	20593.212500
517.940000	21531.930000
518.300000	21037.827500
518.660000	20797.942500
519.030000	21681.367500
519.390000	22783.515000
519.750000	23299.467500
520.110000	23815.147500
520.470000	23852.830000
520.830000	23753.500000
521.200000	24066.567500
521.560000	24553.440000
521.920000	25013.685000
522.280000	24656.042500
522.640000	24299.355000
523.000000	23882.935000
523.370000	24419.500000
523.730000	25516.257500
524.090000	26193.452500
524.450000	26555.532500
524.810000	26501.875000
525.170000	26037.330000
525.530000	26294.552500
525.890000	26561.747500
526.260000	25331.597500
526.620000	23998.030000
526.980000	23529.112500
527.340000	24328.640000
527.700000	25943.260000
528.060000	26676.910000
528.420000	27256.005000
528.780000	27946.855000
529.140000	28899.842500
529.500000	28415.635000
529.860000	27820.837500
530.220000	27916.882500
530.590000	28855.062500
530.950000	29665.170000
531.310000	29638.817500
531.670000	29425.900000
532.030000	29096.995000
532.390000	28092.125000
532.750000	27188.697500
533.110000	27569.002500
533.470000	28505.062500
533.830000	28997.327500
534.190000	29098.975000
534.550000	29057.400000
534.910000	29500.650000
535.270000	30006.087500
535.630000	30743.360000
535.990000	30946.922500
536.350000	30171.492500
536.710000	29143.207500
537.070000	28428.265000
537.430000	29279.947500
537.790000	29826.070000
538.150000	30165.692500
538.510000	30243.515000
538.870000	30118.657500
539.220000	29694.525000
539.580000	29157.407500
539.940000	29051.530000
540.300000	28609.375000
540.660000	28365.460000
541.020000	28475.502500
541.380000	29231.475000
541.740000	29856.447500
542.100000	29938.505000
542.460000	29862.865000
542.820000	29572.735000
543.180000	29321.655000
543.530000	29451.497500
543.890000	30142.415000
544.250000	30470.635000
544.610000	30021.447500
544.970000	30176.477500
545.330000	30021.240000
545.690000	30352.877500
546.050000	29703.740000
546.400000	29905.530000
546.760000	29902.665000
547.120000	29957.002500
547.480000	29431.835000
547.840000	29004.015000
548.200000	29209.835000
548.550000	29655.200000
548.910000	30025.612500
549.270000	29912.015000
549.630000	29981.035000
549.990000	29689.062500
550.340000	29432.110000
550.700000	29292.372500
551.060000	29279.947500
551.420000	29321.792500
551.780000	29675.952500
552.130000	29800.267500
552.490000	29203.832500
552.850000	28988.247500
553.210000	28887.490000
553.570000	28937.252500
553.920000	29311.895000
554.280000	29416.750000
554.640000	29562.360000
555.000000	29788.727500
555.350000	29543.522500
555.710000	29209.357500
556.070000	29001.420000
556.420000	28557.082500
556.780000	28036.077500
557.140000	28072.122500
557.500000	28073.145000
557.850000	28384.847500
558.210000	28296.167500
558.570000	27364.002500
558.920000	27014.005000
559.280000	27003.695000
559.640000	27363.387500
559.990000	27358.952500
560.350000	27602.250000
560.710000	28505.470000
561.060000	28712.042500
561.420000	27750.382500
561.780000	27493.570000
562.130000	27390.285000
562.490000	27730.657500
562.850000	27916.407500
563.200000	28052.872500
563.560000	27732.702500
563.920000	27402.027500
564.270000	27633.925000
564.630000	27668.195000
564.980000	27604.367500
565.340000	27257.302500
565.700000	26690.837500
566.050000	26280.492500
566.410000	26741.352500
566.760000	27226.652500
567.120000	27443.670000
567.480000	27501.420000
