wavelength(nm),Relative Transmission
200.89545934530096,80.1460843373494
201.7909186906019,77.63165565487758
202.68637803590286,75.75948795180722
203.5818373812038,73.769578313253
204.47729672650476,73.21987951807229
205.3727560718057,72.34036144578313
206.26821541710666,71.46084337349397
207.1636747624076,70.14156626506023
208.05913410770856,69.15210843373494
208.9545934530095,68.27259036144578
209.85005279831046,68.0527108433735
210.7455121436114,68.49246987951807
211.64097148891236,68.93222891566266
212.53643083421332,69.37198795180723
213.43189017951426,69.59186746987952
214.3273495248152,69.70180722891565
215.22280887011615,69.92168674698796
216.11826821541712,69.92168674698796
217.01372756071805,70.25150602409639
217.90918690601902,70.58132530120483
218.80464625131995,70.91114457831326
219.70010559662092,71.0210843373494
220.59556494192185,71.13102409638554
221.4910242872228,71.2409638554217
222.38648363252375,71.46084337349397
223.2819429778247,71.79066265060241
224.17740232312565,72.0105421686747
225.0728616684266,72.230421686747
225.96832101372758,72.56024096385542
226.8637803590285,72.89006024096386
227.75923970432947,73.10993975903615
228.6546990496304,73.43975903614458
229.55015839493137,73.87951807228914
230.4456177402323,74.20933734939759
231.34107708553327,74.42921686746988
232.2365364308342,74.64909638554218
233.13199577613517,74.86897590361447
234.0274551214361,74.9789156626506
234.92291446673707,75.19879518072288
235.81837381203803,75.41867469879519
236.71383315733897,75.63855421686746
237.6092925026399,75.85843373493977
238.50475184794087,76.07831325301204
239.40021119324183,76.1882530120482
240.29567053854277,76.29819277108433
241.19112988384373,76.51807228915662
242.08658922914466,76.51807228915662
242.98204857444563,76.73795180722891
243.87750791974656,76.9578313253012
244.7729672650475,77.1777108433735
245.66842661034846,77.39759036144578
246.56388595564943,77.39759036144578
247.45934530095036,77.61746987951807
248.35480464625132,77.72740963855422
249.2502639915523,77.9472891566265
250.14572333685322,78.05722891566263
251.04118268215416,78.27710843373494
251.93664202745512,78.49698795180723
252.83210137275609,78.60692771084337
253.72756071805702,78.82680722891565
254.62302006335796,79.04668674698796
255.51847940865892,79.26656626506025
256.4139387539599,79.48644578313254
257.3093980992608,79.81626506024097
258.20485744456175,79.92620481927712
259.10031678986275,80.14608433734941
259.9957761351637,80.25602409638554
260.8912354804646,80.47590361445783
261.7866948257656,80.58584337349397
262.68215417106654,80.80572289156626
263.5776135163675,80.91566265060241
264.4730728616684,81.13554216867469
265.36853220696935,81.355421686747
266.26399155227034,81.46536144578315
267.1594508975713,81.57530120481927
268.0549102428722,81.79518072289157
268.9503695881732,81.79518072289157
269.84582893347414,82.01506024096386
270.7412882787751,82.23493975903615
271.63674762407607,82.23493975903615
272.532206969377,82.34487951807229
273.42766631467794,82.56475903614458
274.32312565997887,82.67469879518073
275.2185850052798,82.78463855421687
276.1140443505808,82.894578313253
277.00950369588173,83.1144578313253
277.90496304118267,83.1144578313253
278.80042238648366,83.33433734939759
279.6958817317846,83.33433734939759
280.59134107708553,83.55421686746986
281.48680042238647,83.77409638554217
282.38225976768746,83.88403614457832
283.2777191129884,83.99397590361446
284.1731784582893,83.99397590361446
285.06863780359026,84.21385542168674
285.96409714889126,84.43373493975902
286.8595564941922,84.65361445783132
287.7550158394931,84.87349397590361
288.6504751847941,84.87349397590361
289.545934530095,84.87349397590361
290.441393875396,84.98343373493975
291.3368532206969,85.0933734939759
292.23231256599786,85.0933734939759
293.12777191129885,85.0933734939759
294.0232312565998,85.20331325301206
294.9186906019007,85.20331325301206
295.8141499472017,85.20331325301206
296.70960929250265,85.0933734939759
297.6050686378036,85.0933734939759
298.5005279831046,85.0933734939759
299.39598732840545,85.31325301204818
300.29144667370645,85.31325301204818
301.1869060190074,85.5331325301205
302.0823653643083,85.5331325301205
302.9778247096093,85.64307228915663
303.87328405491024,85.75301204819277
304.7687434002112,85.97289156626506
305.66420274551217,85.97289156626506
306.5596620908131,86.19277108433734
307.45512143611404,86.30271084337349
308.35058078141503,86.41265060240964
309.2460401267159,86.41265060240964
310.1414994720169,86.41265060240964
311.03695881731784,86.41265060240964
311.9324181626188,86.5225903614458
312.82787750791977,86.41265060240964
313.7233368532207,86.41265060240964
314.61879619852164,86.41265060240964
315.5142555438226,86.41265060240964
316.40971488912356,86.30271084337349
317.3051742344245,86.30271084337349
318.20063357972543,86.41265060240964
319.09609292502637,86.41265060240964
319.99155227032736,86.41265060240964
320.8870116156283,86.5225903614458
321.78247096092923,86.63253012048193
322.6779303062302,86.63253012048193
323.57338965153116,86.74246987951807
324.4688489968321,86.74246987951807
325.3643083421331,86.85240963855422
326.259767687434,86.85240963855422
327.15522703273496,86.85240963855422
328.05068637803595,87.0722891566265
328.9461457233368,87.0722891566265
329.8416050686378,86.96234939759037
330.73706441393875,86.96234939759037
331.6325237592397,86.85240963855422
332.5279831045407,86.96234939759037
333.4234424498416,86.96234939759037
334.31890179514255,87.0722891566265
335.21436114044354,87.0722891566265
336.1098204857444,87.0722891566265
337.0052798310454,87.0722891566265
337.90073917634635,87.0722891566265
338.7961985216473,87.0722891566265
339.6916578669483,87.18222891566265
340.5871172122492,87.29216867469881
341.48257655755015,87.29216867469881
342.37803590285114,87.40210843373495
343.2734952481521,87.40210843373495
344.168954593453,87.40210843373495
345.064413938754,87.51204819277109
345.9598732840549,87.62198795180723
346.85533262935587,87.62198795180723
347.7507919746568,87.73192771084337
348.64625131995774,87.73192771084337
349.54171066525873,87.73192771084337
350.43717001055967,87.73192771084337
351.3326293558606,87.73192771084337
352.2280887011616,87.73192771084337
353.1235480464625,87.73192771084337
354.01900739176347,87.84186746987952
354.91446673706446,87.95180722891565
355.80992608236534,87.95180722891565
