Wavelength	March Data	June Data
492.000000	0.046100	0.023500
493.000000	0.047700	0.024300
494.000000	0.048300	0.024600
495.000000	0.048800	0.024900
496.000000	0.049200	0.025100
497.000000	0.050100	0.025600
498.000000	0.047900	0.024400
499.000000	0.048700	0.024800
500.000000	0.047400	0.024200
501.000000	0.046600	0.023700
502.000000	0.046100	0.023400
503.000000	0.048100	0.024400
504.000000	0.047300	0.023900
505.000000	0.048800	0.024700
506.000000	0.050600	0.025600
507.000000	0.048200	0.024500
508.000000	0.046800	0.023800
509.000000	0.048100	0.024400
510.000000	0.047900	0.024300
511.000000	0.049200	0.025100
512.000000	0.049800	0.025400
513.000000	0.047300	0.024100
514.000000	0.047100	0.024000
515.000000	0.046700	0.023800
516.000000	0.046700	0.023800
517.000000	0.041600	0.021200
518.000000	0.043800	0.022300
519.000000	0.046000	0.023500
520.000000	0.047800	0.024400
521.000000	0.048300	0.024600
522.000000	0.048500	0.024700
523.000000	0.047800	0.024300
524.000000	0.049600	0.025300
525.000000	0.050300	0.025500
526.000000	0.048100	0.024400
527.000000	0.045500	0.023100
528.000000	0.048200	0.024400
529.000000	0.051000	0.025800
530.000000	0.050400	0.025500
531.000000	0.051200	0.025900
532.000000	0.049600	0.025100
533.000000	0.048200	0.024400
534.000000	0.049800	0.025200
535.000000	0.051000	0.025800
536.000000	0.051500	0.026100
537.000000	0.049600	0.025100
538.000000	0.050500	0.025600
539.000000	0.050200	0.025500
540.000000	0.048300	0.024500
541.000000	0.048800	0.024700
542.000000	0.050400	0.025500
543.000000	0.049900	0.025300
544.000000	0.051000	0.025800
545.000000	0.050800	0.025700
546.000000	0.051200	0.025900
547.000000	0.051200	0.025900
548.000000	0.050600	0.025600
549.000000	0.050900	0.025700
550.000000	0.051600	0.026100
551.000000	0.051100	0.025900
552.000000	0.051600	0.026100
553.000000	0.050700	0.025700
554.000000	0.052100	0.026300
555.000000	0.052300	0.026400
556.000000	0.051700	0.026100
557.000000	0.050200	0.025400
558.000000	0.049900	0.025200
559.000000	0.049100	0.024800
560.000000	0.049900	0.025100
561.000000	0.050700	0.025500
562.000000	0.050400	0.025400
563.000000	0.051900	0.026100
564.000000	0.050600	0.025400
565.000000	0.050300	0.025200
566.000000	0.049700	0.024900
567.000000	0.050800	0.025400
568.000000	0.050500	0.025300
569.000000	0.049700	0.024800
570.000000	0.049700	0.024800
571.000000	0.049400	0.024600
572.000000	0.050800	0.025300
573.000000	0.051500	0.025600
574.000000	0.051400	0.025500
575.000000	0.050600	0.025100
576.000000	0.050200	0.024900
577.000000	0.050800	0.025200
578.000000	0.050100	0.024800
579.000000	0.050200	0.025000
580.000000	0.051200	0.025600
581.000000	0.051500	0.025800
582.000000	0.052500	0.026400
583.000000	0.052700	0.026500
584.000000	0.053200	0.026800
585.000000	0.052000	0.026200
586.000000	0.051000	0.025700
587.000000	0.052300	0.026300
588.000000	0.051500	0.025800
589.000000	0.046400	0.023100
590.000000	0.048500	0.024100
591.000000	0.051000	0.025500
592.000000	0.050700	0.025300
593.000000	0.051300	0.025600
594.000000	0.051200	0.025600
595.000000	0.050300	0.025100
596.000000	0.051700	0.025900
597.000000	0.051400	0.025700
598.000000	0.051200	0.025700
599.000000	0.051300	0.025700
600.000000	0.051300	0.025800
601.000000	0.050800	0.025600
602.000000	0.050500	0.025400
603.000000	0.051400	0.025900
604.000000	0.052300	0.026300
605.000000	0.052100	0.026200
606.000000	0.052000	0.026200
607.000000	0.052600	0.026600
608.000000	0.052100	0.026400
609.000000	0.052300	0.026500
610.000000	0.051900	0.026300
611.000000	0.052200	0.026500
612.000000	0.052100	0.026500
613.000000	0.051500	0.026200
614.000000	0.050800	0.025900
615.000000	0.052000	0.026500
616.000000	0.050400	0.025700
617.000000	0.050300	0.025700
618.000000	0.052300	0.026700
619.000000	0.051800	0.026500
620.000000	0.052200	0.026700
621.000000	0.052300	0.026700
622.000000	0.051400	0.026100
623.000000	0.050300	0.025400
624.000000	0.049700	0.025200
625.000000	0.049900	0.025400
626.000000	0.050900	0.025900
627.000000	0.051700	0.026300
628.000000	0.049200	0.024400
629.000000	0.051000	0.025700
630.000000	0.049900	0.025200
631.000000	0.050900	0.025900
632.000000	0.050500	0.025800
633.000000	0.052000	0.026700
634.000000	0.051500	0.026500
635.000000	0.052400	0.027000
636.000000	0.051600	0.026700
637.000000	0.052500	0.027200
638.000000	0.053000	0.027500
639.000000	0.052500	0.027300
640.000000	0.052100	0.027100
641.000000	0.052100	0.027200
642.000000	0.051900	0.027100
643.000000	0.052700	0.027500
644.000000	0.052600	0.027500
645.000000	0.052800	0.027600
646.000000	0.051900	0.027100
647.000000	0.051900	0.027000
648.000000	0.052200	0.027100
649.000000	0.051300	0.026700
650.000000	0.050900	0.026700
651.000000	0.053100	0.027800
652.000000	0.051800	0.027000
653.000000	0.052600	0.027600
654.000000	0.052000	0.027300
655.000000	0.050500	0.026400
656.000000	0.044600	0.023400
657.000000	0.045800	0.024000
658.000000	0.051200	0.026900
659.000000	0.051400	0.027000
660.000000	0.051300	0.026900
661.000000	0.051200	0.026700
662.000000	0.051000	0.026400
663.000000	0.050300	0.026200
664.000000	0.051300	0.026900
665.000000	0.051600	0.027200
666.000000	0.051900	0.027400
667.000000	0.052100	0.027600
668.000000	0.052200	0.027700
669.000000	0.053100	0.028200
670.000000	0.052900	0.028200
671.000000	0.053000	0.028200
672.000000	0.052600	0.028000
673.000000	0.053500	0.028500
674.000000	0.053300	0.028500
675.000000	0.052900	0.028200
676.000000	0.053300	0.028500
677.000000	0.052900	0.028200
678.000000	0.053100	0.028400
679.000000	0.052300	0.027900
680.000000	0.052800	0.028200
681.000000	0.052500	0.028100
682.000000	0.052600	0.028100
683.000000	0.052500	0.028100
684.000000	0.052400	0.028000
685.000000	0.052900	0.028300
686.000000	0.052700	0.028200
687.000000	0.039100	0.017400
688.000000	0.043900	0.021000
689.000000	0.044000	0.021100
690.000000	0.045600	0.022500
691.000000	0.047400	0.024000
692.000000	0.048800	0.025300
693.000000	0.049200	0.025500
694.000000	0.049300	0.025700
695.000000	0.050500	0.026700
696.000000	0.050800	0.026800
697.000000	0.052500	0.028100
698.000000	0.051800	0.027700
699.000000	0.051500	0.027400
700.000000	0.051000	0.027100
701.000000	0.050800	0.026900
702.000000	0.050900	0.027100
703.000000	0.051100	0.027200
704.000000	0.052300	0.027900
705.000000	0.052500	0.028100
706.000000	0.052300	0.028000
707.000000	0.052300	0.028100
708.000000	0.052500	0.028200
709.000000	0.052300	0.028200
710.000000	0.052600	0.028300
711.000000	0.052500	0.028200
712.000000	0.052200	0.028200
713.000000	0.051900	0.028000
714.000000	0.052200	0.028100
715.000000	0.051000	0.027400
716.000000	0.051200	0.027500
717.000000	0.048000	0.024700
718.000000	0.045300	0.023200
719.000000	0.042000	0.021300
720.000000	0.044100	0.022400
721.000000	0.046300	0.024000
722.000000	0.050400	0.026900
723.000000	0.048400	0.025500
724.000000	0.045300	0.023400
725.000000	0.045300	0.023300
726.000000	0.046800	0.024100
727.000000	0.046900	0.024400
728.000000	0.045300	0.023200
729.000000	0.045800	0.023800
730.000000	0.048200	0.025200
731.000000	0.046800	0.024200
732.000000	0.048600	0.025600
733.000000	0.050100	0.026800
734.000000	0.051100	0.027400
735.000000	0.050300	0.026900
736.000000	0.050200	0.026900
737.000000	0.050600	0.027100
738.000000	0.050600	0.027300
739.000000	0.049700	0.026900
740.000000	0.050800	0.027500
741.000000	0.050200	0.027200
742.000000	0.050200	0.027300
743.000000	0.051500	0.028000
744.000000	0.051300	0.027900
745.000000	0.051300	0.027900
746.000000	0.051600	0.028100
747.000000	0.051800	0.028200
748.000000	0.051700	0.028200
749.000000	0.051200	0.027900
750.000000	0.051200	0.027900
751.000000	0.050800	0.027700
752.000000	0.051100	0.027800
753.000000	0.051400	0.028000
754.000000	0.051600	0.028100
755.000000	0.051300	0.028000
756.000000	0.051400	0.028000
757.000000	0.051500	0.028100
758.000000	0.051000	0.027800
759.000000	0.050200	0.027100
760.000000	0.013300	0.003180
761.000000	0.008270	0.001480
762.000000	0.030500	0.012200
763.000000	0.018300	0.005310
764.000000	0.024800	0.008670
765.000000	0.030600	0.012300
766.000000	0.035400	0.015900
767.000000	0.042500	0.020900
768.000000	0.047300	0.024800
769.000000	0.048000	0.025600
770.000000	0.049300	0.026700
771.000000	0.049600	0.027000
772.000000	0.049700	0.027100
773.000000	0.050100	0.027300
774.000000	0.049900	0.027300
775.000000	0.049600	0.027100
776.000000	0.050300	0.027500
777.000000	0.049700	0.027100
778.000000	0.049400	0.027000
779.000000	0.049500	0.027100
780.000000	0.049300	0.027000
781.000000	0.049400	0.027000
782.000000	0.049800	0.027200
783.000000	0.049000	0.026800
784.000000	0.049300	0.027000
785.000000	0.049000	0.026800
786.000000	0.049700	0.027200
787.000000	0.049300	0.026800
788.000000	0.048900	0.026600
789.000000	0.049100	0.026700
790.000000	0.048400	0.026100
791.000000	0.048300	0.026300
792.000000	0.048000	0.026100
793.000000	0.047300	0.025700
794.000000	0.047500	0.026000
795.000000	0.048600	0.026500
796.000000	0.047900	0.026000
797.000000	0.048100	0.026000
798.000000	0.048800	0.026600
799.000000	0.048700	0.026500
800.000000	0.048100	0.026200
