Wavelength	Ganancia relativa	error
385.000000	0.065251	0.062466
385.110000	0.065597	0.061754
385.360084	0.066273	0.064353
385.490000	0.067313	0.066435
385.870000	0.068543	0.063911
386.000000	0.070124	0.064705
386.250000	0.072200	0.065749
386.255544	0.074574	0.068050
386.620000	0.076888	0.065893
387.000000	0.079638	0.066849
387.151003	0.082525	0.067531
387.380000	0.086062	0.067874
387.760000	0.089241	0.071050
388.000000	0.092409	0.067271
388.046463	0.095418	0.069015
388.130000	0.098002	0.069369
388.510000	0.099985	0.070051
388.890000	0.102727	0.064779
388.941922	0.105386	0.062752
389.000000	0.106723	0.058925
389.260000	0.108346	0.041131
389.640000	0.110421	0.020417
389.837381	0.112491	0.019960
390.000000	0.114516	0.020148
390.020000	0.117121	0.022378
390.400000	0.119939	0.021967
390.732841	0.122704	0.014543
390.770000	0.125427	0.016199
391.000000	0.128119	0.008566
391.150000	0.131022	0.001005
391.530000	0.133967	0.024203
391.628300	0.136897	0.019896
391.900000	0.139744	0.013288
392.000000	0.142524	0.008668
392.280000	0.145219	0.017138
392.523759	0.147872	0.018380
392.660000	0.150588	0.018807
393.000000	0.153269	0.002340
393.040000	0.155912	0.011402
393.410000	0.158605	0.099136
393.419219	0.161373	0.101186
393.790000	0.164066	0.079604
394.000000	0.166749	0.061348
394.170000	0.169551	0.053905
394.314678	0.172343	0.039905
394.540000	0.175195	0.021476
394.920000	0.177975	0.011011
395.000000	0.180646	0.013208
395.210137	0.183274	0.002310
395.300000	0.185846	0.007685
395.670000	0.188553	0.029868
396.000000	0.191233	0.019888
396.050000	0.193907	0.020658
396.105597	0.196578	0.016051
396.420000	0.198930	0.001051
396.800000	0.201323	0.024082
397.000000	0.203702	0.007159
397.001056	0.206055	0.004335
397.180000	0.208571	0.057963
397.550000	0.211159	0.044053
397.896515	0.213640	0.023055
397.930000	0.216009	0.023857
398.000000	0.218161	0.026419
398.310000	0.220322	0.000592
398.680000	0.222434	0.008730
398.791975	0.224518	0.007155
399.000000	0.226591	0.005903
399.060000	0.228678	0.004992
399.440000	0.230768	0.014559
399.687434	0.232776	0.017067
399.810000	0.234694	0.017299
400.000000	0.236368	0.014651
400.190000	0.238004	0.012545
400.560000	0.239786	0.009284
400.582893	0.241685	0.007731
400.940000	0.243449	0.011193
401.000000	0.245326	0.009958
401.320000	0.247279	0.008401
401.478353	0.249342	0.010961
401.690000	0.251242	0.014959
402.000000	0.253566	0.011237
402.070000	0.255608	0.010868
402.373812	0.257516	0.017072
402.440000	0.259241	0.017133
402.820000	0.261173	0.020429
403.000000	0.263055	0.017247
403.190000	0.264935	0.011972
403.269271	0.266775	0.009904
403.570000	0.268515	0.007325
403.950000	0.270018	0.014967
404.000000	0.271446	0.014306
404.164731	0.272632	0.015017
404.320000	0.273886	0.015530
404.700000	0.275027	0.001083
405.000000	0.276173	0.001898
405.060190	0.277391	0.001755
405.070000	0.278728	0.000592
405.450000	0.279917	0.011447
405.820000	0.281110	0.016726
405.955649	0.282776	0.011536
406.000000	0.284320	0.008845
406.200000	0.285713	0.002121
406.570000	0.286977	0.003439
406.851109	0.288233	0.001109
406.950000	0.289228	0.000258
407.000000	0.290087	0.000464
407.320000	0.290880	0.005261
407.700000	0.291729	0.006189
407.746568	0.292601	0.005288
408.000000	0.293354	0.004353
408.070000	0.294136	0.002712
408.450000	0.295055	0.000681
408.642027	0.295980	0.006583
408.820000	0.296867	0.012964
409.000000	0.297754	0.010166
409.200000	0.298452	0.019429
409.537487	0.299069	0.026000
409.570000	0.299647	0.026156
409.950000	0.300270	0.011147
410.000000	0.300870	0.011209
410.320000	0.301394	0.006764
410.432946	0.301930	0.009585
410.700000	0.302472	0.015376
411.000000	0.302940	0.003302
411.070000	0.303498	0.007093
411.328405	0.303992	0.017054
411.450000	0.304492	0.021263
411.820000	0.304944	0.015273
412.000000	0.305371	0.009604
412.200000	0.305771	0.009378
412.223865	0.306041	0.009114
412.570000	0.306433	0.008845
412.950000	0.306905	0.003160
413.000000	0.307523	0.001901
413.119324	0.308317	0.001853
413.320000	0.309134	0.007592
413.700000	0.310030	0.002341
414.000000	0.310913	0.001834
414.014784	0.311636	0.001170
414.070000	0.312219	0.000806
414.450000	0.312584	0.003384
414.820000	0.313002	0.005060
414.910243	0.313486	0.006004
415.000000	0.313930	0.006904
415.190000	0.314417	0.009063
415.570000	0.315021	0.014088
415.805702	0.315598	0.009643
415.940000	0.316097	0.007330
416.000000	0.316596	0.007532
416.320000	0.317253	0.002321
416.690000	0.317867	0.008960
416.701162	0.318461	0.008255
417.000000	0.319079	0.004682
417.070000	0.319624	0.003247
417.440000	0.320124	0.011136
417.596621	0.320646	0.013475
417.810000	0.321081	0.016374
418.000000	0.321427	0.012759
418.190000	0.322078	0.011221
418.492080	0.322918	0.012909
418.560000	0.323767	0.013948
418.940000	0.324718	0.012908
419.000000	0.325628	0.012499
419.310000	0.326558	0.004946
419.387540	0.327259	0.005822
419.680000	0.328060	0.007274
420.000000	0.328856	0.014634
420.060000	0.329986	0.017894
420.282999	0.331171	0.021969
420.430000	0.332380	0.025051
420.800000	0.333585	0.016009
421.000000	0.334794	0.009367
421.178458	0.336134	0.001695
421.180000	0.337631	0.000306
421.550000	0.338992	0.004013
421.930000	0.340284	0.009451
422.000000	0.341472	0.007671
422.073918	0.342532	0.005145
422.300000	0.343140	0.000055
422.670000	0.343610	0.019771
422.969377	0.344255	0.017319
423.000000	0.344866	0.017612
423.050000	0.345574	0.019035
423.420000	0.346915	0.018005
423.790000	0.348365	0.010824
423.864836	0.349851	0.012870
424.000000	0.351499	0.015521
424.170000	0.352777	0.015125
424.540000	0.354055	0.004683
424.760296	0.355406	0.009220
424.910000	0.356789	0.012755
425.000000	0.358600	0.014843
425.290000	0.360193	0.014645
425.655755	0.361682	0.013033
425.660000	0.363038	0.014352
426.000000	0.364155	0.012924
