5.909179687499996891e-01	1.480572553287330118e-01
3.916015624999994449e-01	9.145750846358829955e-02
4.720703124999995337e-01	1.035445727447729530e-01
3.980468749999994671e-01	8.541342216714173374e-02
7.830078124999997335e-01	2.104087403669157863e-01
5.049804687499994671e-01	9.854080308223439610e-02
5.163085937499994893e-01	1.006127684311277221e-01
2.416015624999993117e-01	6.466752715489597347e-02
4.873046874999995559e-01	9.154949825342548198e-02
5.016601562499996003e-01	9.036023154523098455e-02
4.035156249999994893e-01	7.242439962789641583e-02
4.719726562499995115e-01	8.085316990414397054e-02
6.503906249999996669e-01	1.152950164008061107e-01
5.337890624999996891e-01	8.991766041160120793e-02
5.882812499999996447e-01	9.722785298429749423e-02
5.031249999999996003e-01	7.946273742637532944e-02
6.531249999999997335e-01	1.096461002032163706e-01
3.769531249999994449e-01	6.046881042086211383e-02
4.139648437499994227e-01	6.283236193678772008e-02
3.835937499999994560e-01	5.820055108409265265e-02
4.680664062499995115e-01	6.663850695198733631e-02
5.650390624999996891e-01	8.234358698849204850e-02
5.528320312499996891e-01	7.881941515974252854e-02
4.234374999999994671e-01	5.805022085789938308e-02
5.749999999999996225e-01	8.034171436142804879e-02
4.229492187499994671e-01	5.726478118274521550e-02
3.541015624999994116e-01	5.235501856755910705e-02
4.807617187499995115e-01	6.240409444725154853e-02
5.237304687499995115e-01	6.574342233804164604e-02
5.757812499999996891e-01	7.306456876745476281e-02
5.729492187499996003e-01	7.232021673278442309e-02
4.958984374999995670e-01	5.947632288727948413e-02
5.513671874999996891e-01	6.689646631764918638e-02
3.485351562499994227e-01	4.713326987080087432e-02
5.282226562499995337e-01	6.180943098449916129e-02
